statement_id,domain,stem_no,stem_name,statement_text_en,statement_type,median,p30,p70,interpretation,soq_option,soq_pct,decision_item_id,scenario_flags,expected_system_action,source_locator
Q12,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at bpMRI, biopsy should be indicated by the result of the risk calculator.",likert,6,5,6,Consensus to neither agree nor disagree,,,d_riskcalc_gate_bpmri_indeterminate,indeterminate_lesion|bpmri|risk_calculator_available,conditional,Table 1 (Q12)
Q13,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at bpMRI, biopsy should be indicated by the result of serum or urine biomarkers.",likert,4,3,4,Consensus to neither agree nor disagree,,,d_biomarker_gate_bpmri_indeterminate,indeterminate_lesion|bpmri|biomarker_available,conditional,Table 1 (Q13)
Q14,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at mpMRI, biopsy should be indicated by the result of PSA density.",likert,8,8,8,Consensus agree,,,d_psad_gate_mpmri_indeterminate,indeterminate_lesion|mpmri,endorse,Table 1 (Q14)
Q15,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at mpMRI, biopsy should be indicated by the result of the risk calculator.",likert,7,5,7,Consensus agree,,,d_riskcalc_gate_mpmri_indeterminate,indeterminate_lesion|mpmri|risk_calculator_available,endorse,Table 1 (Q15)
Q16,indication,5,Indeterminate lesion on MRI - role of additional tools,"In case of an indeterminate lesion at mpMRI, biopsy should be indicated by the result of serum or urine biomarkers.",likert,4,3,4,Consensus to neither agree nor disagree,,,d_biomarker_gate_mpmri_indeterminate,indeterminate_lesion|mpmri|biomarker_available,conditional,Table 1 (Q16)
Q17,indication,6,New imaging modalities - PSMA PET,PSMA PET should be preferred to MRI if available/feasible for primary prostate cancer diagnosis.,likert,2,2,2,Consensus disagree,,,d_reject_psma_pet_upfront,psma_pet_available,against,Table 1 (Q17)
Q18,indication,6,New imaging modalities - PSMA PET,"In patients with an indeterminate MRI lesion, PSMA/PET-CT could be considered as an ancillary test, if available, to indicate a biopsy.",likert,6,5,7,Consensus to neither agree nor disagree,,,d_psma_pet_indeterminate_ancillary,indeterminate_lesion|psma_pet_available,conditional,Table 1 (Q18)
Q19,indication,6,New imaging modalities - PSMA PET,"In case of a negative MRI and persistence of high suspicion of csPCa, PSMA PET-CT could be considered as an ancillary test, if available, to indicate a biopsy.",likert,8,8,8,Consensus agree,,,d_psma_pet_negative_mri_ancillary,negative_mri|suspicion_high|psma_pet_available,endorse,Table 1 (Q19)
Q20,indication,7,New imaging modalities - Micro-ultrasound,Micro-ultrasound should be preferred to MRI if available/feasible for primary prostate cancer diagnosis.,likert,2,1,2,Consensus disagree,,,d_reject_microultrasound_upfront,microultrasound_available,against,Table 1 (Q20)
Q21,indication,7,New imaging modalities - Micro-ultrasound,"In patients with an indeterminate MRI lesion, prostate micro-ultrasound should be performed, if available, to indicate a biopsy.",likert,3,2,3,Consensus to neither agree nor disagree,,,d_reject_microultrasound_indeterminate,indeterminate_lesion|microultrasound_available,conditional,Table 1 (Q21)
Q22,indication,7,New imaging modalities - Micro-ultrasound,"In case of a negative MRI and persistence of high suspicion of csPCa, prostate micro-ultrasound should be performed.",likert,3,2,3,Consensus to neither agree nor disagree,,,d_reject_microultrasound_negative_mri,negative_mri|suspicion_high|microultrasound_available,conditional,Table 1 (Q22)
Q25,indication,7,New imaging modalities - Micro-ultrasound,"In case of a negative MRI and persistence of high suspicion of csPCa, systematic prostate biopsy should be performed.",likert,7,7,7,Consensus agree,,,d_sbx_negative_mri_high_suspicion,negative_mri|suspicion_high,endorse,Table 1 (Q25)
Q26,indication,8,Artificial Intelligence in MRI readings,"If available, AI algorithms should be used upfront to identify suspicious lesions on MRI (before radiologists' assessment).",likert,7,7,7,Consensus agree,,,d_ai_mri_lesion_aid,ai_software_available,endorse,Table 1 (Q26)
Q34,procedure,9,Targeted Bx - number of targeted cores (PIRADS adaptation),The optimal number of targeted cores per lesion should be adjusted based on PIRADS/Likert score.,likert,6,6,6,Consensus to neither agree nor disagree,,,d_tbx_cores_adapt_pirads,visible_lesion,conditional,Table 2 (Q34)
Q35,procedure,10,Targeted Bx - number of targeted cores (visible lesion),"For a visible MRI lesion, the targeting should include not less than (mark your best choice).",soq,,,,No consensus,3 cores,66,d_tbx_min3_cores,visible_lesion,report_option,Table 2 (Q35)
Q36,procedure,11,Targeted Bx - number of targeted cores (PIRADS 4-5),"For PIRADS/Likert 4-5 lesions, the targeting should include not less than (mark your best choice).",soq,,,,No consensus,3 cores,68,d_tbx_min3_cores,visible_lesion|pirads_4_5,report_option,Table 2 (Q36)
Q37a,procedure,12,Bx around the ROI - defining term,"If doing it, which term best describes extra cores taken around the region of interest (mark your best choice).",soq,,,,Consensus,Perilesional,97,d_adopt_term_perilesional,,endorse_option,Table 2 (Q37a)
Q38,procedure,13,Bx around the ROI - distance range,"If doing it, extra cores taken around the region of interest (ROI) should be taken in a range of (mark your best choice).",soq,,,,Consensus,10 mm around ROI,82,d_plbx_within_10mm,,endorse_option,Table 2 (Q38)
Q39,procedure,14,Bx around the ROI - size dependence,"If doing it, the number of extra cores taken around the region of interest (ROI) should depend on the size of the MRI lesion.",likert,7,7,7,Consensus agree,,,d_plbx_count_by_lesion_size,visible_lesion,endorse,Table 2 (Q39)
Q40,procedure,15,Bx around the ROI - small lesions (<10 mm),"If doing it, the minimum number of extra cores taken around the region of interest (ROI) for smaller visible MRI lesions (<10 mm) is (mark your best choice).",soq,,,,No consensus,2 cores,67,d_plbx_2cores_small_lesion,lesion_small,report_option,Table 2 (Q40)
Q41,procedure,16,Bx around the ROI - large lesions (>10 mm),"For larger visible MRI lesions (>10 mm), the maximum number of extra cores taken around the region of interest (ROI) is (mark your best choice).",soq,,,,Consensus,2 cores,76,d_plbx_max2cores_large_lesion,lesion_large,endorse_option,Table 2 (Q41)
Q42,procedure,17,Bx scheme - unifocal MRI visible lesion,"In case of a visible MRI lesion, ONLY a targeted biopsy should be performed.",likert,4,3,4,Consensus to neither agree nor disagree,,,d_scheme_unifocal_tbx_plbx,visible_lesion,conditional,Table 2 (Q42)
Q43,procedure,17,Bx scheme - unifocal MRI visible lesion,"In case of a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI should be performed.",likert,7,7,8,Consensus agree,,,d_scheme_unifocal_tbx_plbx,visible_lesion|unifocal,endorse,Table 2 (Q43)
Q44a,procedure,17,Bx scheme - unifocal MRI visible lesion,"In case of unifocal visible MRI lesions, targeted biopsy (Bx) + contralateral Bx should be performed.",likert,5,4,6,Consensus to neither agree nor disagree,,,d_scheme_unifocal_add_contralateral,visible_lesion|unifocal,conditional,Table 2 (Q44a)
Q44,procedure,17,Bx scheme - unifocal MRI visible lesion,"In case of a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral Bx should be performed.",likert,6,5,6,Consensus to neither agree nor disagree,,,d_scheme_unifocal_add_contralateral,visible_lesion|unifocal,conditional,Table 2 (Q44)
Q45,procedure,17,Bx scheme - unifocal MRI visible lesion,"In case of a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + systematic Bx should be performed.",likert,3,3,3,Consensus disagree,,,d_scheme_unifocal_add_sbx,visible_lesion|unifocal,against,Table 2 (Q45)
Q46a,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of a multifocal ipsilateral visible MRI lesion, ONLY a targeted biopsy should be performed.",likert,6,6,6,Consensus to neither agree nor disagree,,,d_scheme_ipsilateral_multifocal,visible_lesion|multifocal_ipsilateral,conditional,Table 2 (Q46a)
Q46b,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of multifocal ipsilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI should be performed.",likert,6,6,7,Consensus to neither agree nor disagree,,,d_scheme_ipsilateral_multifocal,visible_lesion|multifocal_ipsilateral,conditional,Table 2 (Q46b)
Q47a,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of multifocal ipsilateral visible MRI lesions, targeted biopsy (Bx) + contralateral Bx should be performed.",likert,4,2,6,Consensus to neither agree nor disagree,,,d_scheme_ipsilateral_multifocal,visible_lesion|multifocal_ipsilateral,conditional,Table 2 (Q47a)
Q47,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of multifocal ipsilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral Bx should be performed.",likert,5,3,5,Consensus to neither agree nor disagree,,,d_scheme_ipsilateral_multifocal,visible_lesion|multifocal_ipsilateral,conditional,Table 2 (Q47)
Q48,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of multifocal ipsilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI + systematic Bx should be performed.",likert,4,2,4,Consensus to neither agree nor disagree,,,d_scheme_ipsilateral_multifocal,visible_lesion|multifocal_ipsilateral,conditional,Table 2 (Q48)
Q49a,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of multifocal bilateral visible MRI lesions, ONLY targeted biopsy (Bx) should be performed.",likert,6,6,7,Consensus to neither agree nor disagree,,,d_scheme_bilateral_tbx_plbx,visible_lesion|multifocal_bilateral,conditional,Table 2 (Q49a)
Q49,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of multifocal bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI should be performed.",likert,7,6,8,Consensus agree,,,d_scheme_bilateral_tbx_plbx,visible_lesion|multifocal_bilateral,endorse,Table 2 (Q49)
Q50,procedure,18,Bx scheme - multifocal MRI visible lesions (ipsilateral & bilateral),"In case of multifocal bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI + systematic Bx should be performed.",likert,4,2,4,Consensus to neither agree nor disagree,,,d_scheme_bilateral_tbx_plbx,visible_lesion|multifocal_bilateral,conditional,Table 2 (Q50)
Q51,procedure,19,Systematic Bx - which scheme,"In the case systematic biopsy is indicated, the sextant (3 cores per lobe) biopsy template should be used.",likert,3,2,3,Consensus disagree,,,d_reject_sextant_template,,against,Table 2 (Q51)
Q52,procedure,19,Systematic Bx - which scheme,"In the case systematic biopsy is indicated, the 12-core (6 cores per lobe) biopsy template should be used.",likert,8,8,8,Consensus agree,,,d_sbx_12core_template,,endorse,Table 2 (Q52)
Q53,procedure,19,Systematic Bx - which scheme,"In the case systematic biopsy is indicated, the Ginsburg biopsy template (at least 12 cores per lobe) should be used.",likert,3,3,3,Consensus disagree,,,d_reject_ginsburg_template,,against,Table 2 (Q53)
Q54,procedure,19,Systematic Bx - which scheme,"In the case that systematic biopsy is indicated, the 0.5 mm saturation biopsy should be used.",likert,2,1,2,Consensus disagree,,,d_reject_saturation_bx,,against,Table 2 (Q54)
Q55a,procedure,20,Negative MRI but high suspicion of csPCa - which scheme,"In the case of a negative MRI but high suspicion of csPCa, 12 cores (6 cores per lobe) systematic biopsy should be performed.",likert,7,7,7,Consensus agree,,,d_sbx_12core_template,negative_mri|suspicion_high,endorse,Table 2 (Q55a)
Q55b,procedure,20,Negative MRI but high suspicion of csPCa - which scheme,"In the case of a negative MRI but high suspicion of csPCa, systematic biopsy according to the Ginsburg scheme should be performed.",likert,6,4,6,Consensus to neither agree nor disagree,,,d_reject_ginsburg_template,negative_mri|suspicion_high,conditional,Table 2 (Q55b)
Q56,procedure,20,Negative MRI but high suspicion of csPCa - which scheme,"In the case of a negative MRI but high suspicion of csPCa, saturation biopsy should be performed (24 cores).",likert,2,1,2,Consensus disagree,,,d_reject_saturation_bx,negative_mri|suspicion_high,against,Table 2 (Q56)
Q57,procedure,20,Negative MRI but high suspicion of csPCa - which scheme,"Systematic biopsy should be reduced to a maximum of 6 cores in total in men with suspicion of locally advanced disease on digital rectal examination and/or PSA > 50 ng/mL, or those who are not fit for curative treatments.",likert,8,8,8,Consensus agree,,,d_sbx_reduced_6core_advanced,locally_advanced_suspected|psa_gt_50|unfit_curative,endorse,Table 2 (Q57)
Q58,procedure,21,Approach (standard route),The standard approach for prostate biopsy should be (mark your best choice).,soq,,,,Consensus,Transperineal approach,97,d_route_transperineal,,endorse_option,Table 2 (Q58)
Q59,procedure,22,Anaesthesia for transrectal biopsy,Anaesthesia standard for transrectal biopsy should be (mark your best choice).,soq,,,,Consensus,Periprostatic nerve block,83,d_pnb_tr,,endorse_option,Table 2 (Q59)
Q60,procedure,23,Anaesthesia for transperineal biopsy,Anaesthesia standard for transperineal biopsy should be (mark your best choice).,soq,,,,Consensus,Periprostatic nerve block,90,d_pnb_tp,,endorse_option,Table 2 (Q60)
Q62,procedure,24,Antibiotic prophylaxis - transperineal,"In case of transperineal biopsy, antibiotic prophylaxis regimen should be (mark your best choice). Risk factors: antibiotic use in the previous 6 months, international travelling in the previous 6 months, hospitalisation in the previous 6 months, non-sterile urine culture, UTI in the previous 6 months, sub(de)compensated DM.",soq,,,,Consensus,Omitted for every patient except those with risk factors,88,d_omit_abx_tp_no_risk,,endorse_option,Table 2 (Q62)
Q63,procedure,25,Antibiotic prophylaxis - transrectal,"In case of transrectal biopsy, the preferred antibiotic prophylaxis regimen is (mark your best choice).",soq,,,,No consensus,Augmented antibiotic prophylaxis,67,d_augmented_abx_tr,,report_option,Table 2 (Q63)
Q64,treatment_planning,26,Planning focal therapy - unifocal lesion,"In patients with unifocal visible MRI, targeted biopsy (Bx) ONLY is informative enough for focal treatment planning.",likert,5,4,6,Consensus to neither agree nor disagree,,,d_tp_focal_tbx_only_not_enough,unifocal|intent_focal_therapy,conditional,Table 3 (Q64)
Q64a,treatment_planning,26,Planning focal therapy - unifocal lesion,"In patients with unifocal visible MRI, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for focal treatment planning.",likert,5,5,6,Consensus to neither agree nor disagree,,,d_tp_focal_tbx_only_not_enough,unifocal|intent_focal_therapy,conditional,Table 3 (Q64a)
Q65a,treatment_planning,26,Planning focal therapy - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + contralateral Bx should be performed for focal treatment planning.",likert,5,4,7,Consensus to neither agree nor disagree,,,d_tp_focal_tbx_only_not_enough,unifocal|intent_focal_therapy,conditional,Table 3 (Q65a)
Q65,treatment_planning,26,Planning focal therapy - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral systematic Bx should be performed for focal treatment planning.",likert,7,5,7,Consensus agree,,,d_tp_focal_add_contralateral,unifocal|intent_focal_therapy,endorse,Table 3 (Q65)
Q66,treatment_planning,26,Planning focal therapy - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + bilateral systematic Bx should be performed for focal treatment planning.",likert,5,4,5,Consensus to neither agree nor disagree,,,d_tp_focal_tbx_only_not_enough,unifocal|intent_focal_therapy,conditional,Table 3 (Q66)
Q67a,treatment_planning,27,Planning nerve sparing - unifocal lesion,"In patients with unifocal visible MRI, targeted biopsy (Bx) ONLY is informative enough for nerve-sparing surgical planning.",likert,6,5,7,Consensus to neither agree nor disagree,,,d_tp_nss_unifocal_tbx_plbx,unifocal|intent_nerve_sparing,conditional,Table 3 (Q67a)
Q67,treatment_planning,27,Planning nerve sparing - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for nerve-sparing surgical planning.",likert,7,7,7,Consensus agree,,,d_tp_nss_unifocal_tbx_plbx,unifocal|intent_nerve_sparing,endorse,Table 3 (Q67)
Q68a,treatment_planning,27,Planning nerve sparing - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + contralateral Bx should be performed for nerve-sparing surgical planning.",likert,5,3,6,Consensus to neither agree nor disagree,,,d_tp_nss_unifocal_tbx_plbx,unifocal|intent_nerve_sparing,conditional,Table 3 (Q68a)
Q68,treatment_planning,27,Planning nerve sparing - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral systematic Bx should be performed for nerve-sparing surgical planning.",likert,4,2,4,Consensus to neither agree nor disagree,,,d_tp_nss_unifocal_tbx_plbx,unifocal|intent_nerve_sparing,conditional,Table 3 (Q68)
Q69,treatment_planning,27,Planning nerve sparing - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + bilateral systematic Bx should be performed for nerve-sparing surgical planning.",likert,4,2,4,Consensus to neither agree nor disagree,,,d_tp_nss_unifocal_tbx_plbx,unifocal|intent_nerve_sparing,conditional,Table 3 (Q69)
Q70a,treatment_planning,28,Planning nerve sparing - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) ONLY is informative enough for nerve-sparing surgical planning.",likert,7,7,7,Consensus agree,,,d_tp_nss_bilateral_tbx_adequate,multifocal_bilateral|intent_nerve_sparing,endorse,Table 3 (Q70a)
Q70,treatment_planning,28,Planning nerve sparing - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for nerve-sparing surgical planning.",likert,7,7,8,Consensus agree,,,d_tp_nss_bilateral_tbx_adequate,multifocal_bilateral|intent_nerve_sparing,endorse,Table 3 (Q70)
Q71a,treatment_planning,28,Planning nerve sparing - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + contralateral Bx should be performed for nerve-sparing surgical planning.",likert,4,2,5,Consensus to neither agree nor disagree,,,d_tp_nss_bilateral_tbx_adequate,multifocal_bilateral|intent_nerve_sparing,conditional,Table 3 (Q71a)
Q71,treatment_planning,28,Planning nerve sparing - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI + systematic Bx should be performed for nerve-sparing surgical planning.",likert,3,3,3,Consensus disagree,,,d_tp_nss_bilateral_tbx_adequate,multifocal_bilateral|intent_nerve_sparing,against,Table 3 (Q71)
Q72,treatment_planning,28,Planning nerve sparing - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + bilateral systematic Bx should be performed for nerve-sparing surgical planning.",likert,4,3,4,Consensus to neither agree nor disagree,,,d_tp_nss_bilateral_tbx_adequate,multifocal_bilateral|intent_nerve_sparing,conditional,Table 3 (Q72)
Q73a,treatment_planning,29,Planning lymph node dissection - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) ONLY is informative enough for selecting patients as candidates for lymphadenectomy.",likert,6,5,6,Consensus to neither agree nor disagree,,,d_tp_plnd_unifocal_no_consensus,unifocal|intent_plnd,conditional,Table 3 (Q73a)
Q73,treatment_planning,29,Planning lymph node dissection - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for selecting patients as candidates for lymphadenectomy.",likert,6,6,7,Consensus to neither agree nor disagree,,,d_tp_plnd_unifocal_no_consensus,unifocal|intent_plnd,conditional,Table 3 (Q73)
Q74a,treatment_planning,29,Planning lymph node dissection - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + contralateral Bx should be performed to select patients as candidates for lymphadenectomy.",likert,4,2,6,Consensus to neither agree nor disagree,,,d_tp_plnd_unifocal_no_consensus,unifocal|intent_plnd,conditional,Table 3 (Q74a)
Q74,treatment_planning,29,Planning lymph node dissection - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral systematic Bx should be performed to select patients as candidates for lymphadenectomy.",likert,3,2,3,Consensus disagree,,,d_tp_plnd_unifocal_no_consensus,unifocal|intent_plnd,against,Table 3 (Q74)
Q75,treatment_planning,29,Planning lymph node dissection - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + bilateral systematic Bx should be performed to select patients as candidates for lymphadenectomy.",likert,3,2,3,Consensus disagree,,,d_tp_plnd_unifocal_no_consensus,unifocal|intent_plnd,against,Table 3 (Q75)
Q76a,treatment_planning,30,Planning lymph node dissection - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) ONLY is informative enough for selecting patients as candidates for lymphadenectomy.",likert,7,6,7,Consensus agree,,,d_tp_plnd_bilateral_tbx_plbx,multifocal_bilateral|intent_plnd,endorse,Table 3 (Q76a)
Q76,treatment_planning,30,Planning lymph node dissection - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for selecting patients as candidates for lymphadenectomy.",likert,7,7,7,Consensus agree,,,d_tp_plnd_bilateral_tbx_plbx,multifocal_bilateral|intent_plnd,endorse,Table 3 (Q76)
Q77a,treatment_planning,30,Planning lymph node dissection - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + contralateral Bx should be performed for selecting patients candidate to lymphadenectomy.",likert,4,2,5,Consensus to neither agree nor disagree,,,d_tp_plnd_bilateral_tbx_plbx,multifocal_bilateral|intent_plnd,conditional,Table 3 (Q77a)
Q77,treatment_planning,30,Planning lymph node dissection - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI + systematic Bx should be performed for selecting patients as candidates for lymphadenectomy.",likert,3,2,3,Consensus disagree,,,d_tp_plnd_bilateral_tbx_plbx,multifocal_bilateral|intent_plnd,against,Table 3 (Q77)
Q78,treatment_planning,30,Planning lymph node dissection - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + bilateral systematic Bx should be performed for selecting patients candidate to lymphadenectomy.",likert,2,2,2,Consensus disagree,,,d_tp_plnd_bilateral_tbx_plbx,multifocal_bilateral|intent_plnd,against,Table 3 (Q78)
Q79a,treatment_planning,31,Planning whole gland radiotherapy - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) ONLY is informative enough for whole gland radiotherapy planning.",likert,7,7,8,Consensus agree,,,d_tp_wg_rt_tbx_plbx,unifocal|intent_whole_gland_rt,endorse,Table 3 (Q79a)
Q79,treatment_planning,31,Planning whole gland radiotherapy - unifocal lesion,"In patients with a unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for whole gland radiotherapy planning.",likert,8,7,8,Consensus agree,,,d_tp_wg_rt_tbx_plbx,unifocal|intent_whole_gland_rt,endorse,Table 3 (Q79)
Q80a,treatment_planning,31,Planning whole gland radiotherapy - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + contralateral Bx should be performed for whole gland radiotherapy planning.",likert,4,2,6,Consensus to neither agree nor disagree,,,d_tp_wg_rt_tbx_plbx,unifocal|intent_whole_gland_rt,conditional,Table 3 (Q80a)
Q80,treatment_planning,31,Planning whole gland radiotherapy - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + Bx of the area around the ROI + contralateral systematic Bx should be performed for whole gland radiotherapy planning.",likert,4,2,4,Consensus to neither agree nor disagree,,,d_tp_wg_rt_tbx_plbx,unifocal|intent_whole_gland_rt,conditional,Table 3 (Q80)
Q81,treatment_planning,31,Planning whole gland radiotherapy - unifocal lesion,"In patients with unifocal visible MRI lesion, targeted biopsy (Bx) + bilateral systematic Bx should be performed for whole gland radiotherapy planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,unifocal|intent_whole_gland_rt,against,Table 3 (Q81)
Q82a,treatment_planning,32,Planning whole gland radiotherapy - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) ONLY is informative enough for whole gland radiotherapy planning.",likert,7,7,8,Consensus agree,,,d_tp_wg_rt_tbx_plbx,multifocal_bilateral|intent_whole_gland_rt,endorse,Table 3 (Q82a)
Q82,treatment_planning,32,Planning whole gland radiotherapy - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI only is informative enough for whole gland radiotherapy planning.",likert,7,7,8,Consensus agree,,,d_tp_wg_rt_tbx_plbx,multifocal_bilateral|intent_whole_gland_rt,endorse,Table 3 (Q82)
Q83a,treatment_planning,32,Planning whole gland radiotherapy - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + contralateral Bx should be performed for whole-gland radiotherapy planning.",likert,3,2,4,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_whole_gland_rt,against,Table 3 (Q83a)
Q83,treatment_planning,32,Planning whole gland radiotherapy - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + Bx of the area around the ROI + systematic Bx should be performed for whole gland radiotherapy planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_whole_gland_rt,against,Table 3 (Q83)
Q84,treatment_planning,32,Planning whole gland radiotherapy - bilateral lesions,"In patients with bilateral visible MRI lesions, targeted biopsy (Bx) + systematic Bx should be performed for whole gland radiotherapy planning.",likert,3,2,3,Consensus disagree,,,d_tp_reject_adding_systematic_universal,multifocal_bilateral|intent_whole_gland_rt,against,Table 3 (Q84)
