entity_b_id,generic_name,aliases,drug_class,flags,metabolic_pathways,transporter_substrates,narrow_therapeutic_index,label_source
d_pnb_tr,Periprostatic nerve block as standard anaesthesia for transrectal biopsy,经直肠入路神经阻滞,procedure,endorsement_consensus|action_recommend|topic_anaesthesia,recommend,Q59,0,ProBIOPSY Table 2 (SOQ 83%)
d_pnb_tp,Periprostatic nerve block as standard anaesthesia for transperineal biopsy,经会阴入路神经阻滞,procedure,endorsement_consensus|action_recommend|topic_anaesthesia,recommend,Q60,0,ProBIOPSY Table 2 (SOQ 90%)
d_omit_abx_tp_no_risk,Omit antibiotic prophylaxis for transperineal biopsy unless infection risk factors present,经会阴无危险因素免抗生素,procedure,endorsement_consensus|action_recommend|topic_prophylaxis,recommend,Q62,0,ProBIOPSY Table 2 (SOQ 88%)
d_augmented_abx_tr,"Augmented antibiotic prophylaxis preferred for transrectal biopsy (plurality, no consensus)",经直肠入路强化抗生素,procedure,endorsement_majority|action_conditional|topic_prophylaxis,conditional,Q63,0,ProBIOPSY Table 2 (SOQ 67%)
d_tp_focal_add_contralateral,Focal therapy planning (unifocal): TBx+PLBx + contralateral systematic biopsy,局灶治疗需对侧系统穿刺,treatment_planning,endorsement_consensus|action_recommend|topic_treatment_planning,recommend,Q65,0,ProBIOPSY Table 3
d_tp_focal_tbx_only_not_enough,Focal therapy planning (unifocal): TBx alone or TBx+PLBx alone not confirmed sufficient,局灶治疗单靠靶穿刺不足,treatment_planning,endorsement_neither|action_conditional|topic_treatment_planning,conditional,Q64|Q64a|Q65a|Q66,0,ProBIOPSY Table 3
d_tp_nss_unifocal_tbx_plbx,Nerve-sparing planning (unifocal): TBx+PLBx alone informative enough,神经保留单发病灶TBx+PLBx足够,treatment_planning,endorsement_consensus|action_recommend|topic_treatment_planning,recommend,Q67,0,ProBIOPSY Table 3
d_tp_nss_bilateral_tbx_adequate,Nerve-sparing planning (bilateral): TBx (±PLBx) adequate without added systematic cores,神经保留双侧TBx足够,treatment_planning,endorsement_consensus|action_recommend|topic_treatment_planning,recommend,Q70a|Q70,0,ProBIOPSY Table 3
d_tp_plnd_unifocal_no_consensus,PLND planning (unifocal): biopsy scheme informative value unresolved,淋巴结清扫单发无共识,treatment_planning,endorsement_neither|action_conditional|topic_treatment_planning,conditional,Q73a|Q73|Q74a|Q74|Q75,0,ProBIOPSY Table 3
d_tp_plnd_bilateral_tbx_plbx,PLND planning (bilateral): TBx ± PLBx adequate to guide decision,淋巴结清扫双侧TBx±PLBx足够,treatment_planning,endorsement_consensus|action_recommend|topic_treatment_planning,recommend,Q76a|Q76,0,ProBIOPSY Table 3
d_tp_wg_rt_tbx_plbx,Whole-gland RT planning (unifocal/bilateral): TBx ± PLBx informative enough,全腺体放疗TBx±PLBx足够,treatment_planning,endorsement_consensus|action_recommend|topic_treatment_planning,recommend,Q79a|Q79|Q82a|Q82,0,ProBIOPSY Table 3
d_tp_focal_boost_tbx_plbx,Focal RT boost planning (unifocal/bilateral): TBx ± PLBx informative enough,局灶加量放疗TBx±PLBx足够,treatment_planning,endorsement_consensus|action_recommend|topic_treatment_planning,recommend,Q85a|Q85|Q88a|Q88,0,ProBIOPSY Table 3
d_tp_adt_duration_tbx_plbx,ADT duration planning (unifocal/bilateral): TBx ± PLBx informative enough,ADT疗程TBx±PLBx足够,treatment_planning,endorsement_consensus|action_recommend|topic_treatment_planning,recommend,Q91a|Q91|Q94a|Q94,0,ProBIOPSY Table 3
d_tp_reject_adding_systematic_universal,Do NOT add contralateral/systematic cores universally for RT boost and ADT planning,放疗加量ADT方案不加系统穿刺,treatment_planning,endorsement_against|action_against|topic_treatment_planning,against,Q80|Q81|Q83|Q84|Q87|Q89|Q90|Q92|Q93|Q95|Q96,0,ProBIOPSY Table 3
